name,type,activity_code,activity,budget,memberships,zip,registerNumber,interestPercentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
atene KOM GmbH,,ACT_ORGANIZATION,Unternehmen,100000.0,"['R002737', 'R003404', 'R004438', 'R003194', 'R000672', 'R002203', 'R002392']",10115.0,R001195,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Germany GmbH & Co. KG,,ACT_ORGANIZATION,Unternehmen,100000.0,"['R000672', 'R002101']",85579.0,R002405,0.4285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUGLAS Bundesverband Glasfaseranschluss e. V.,,ACT_PROFESSION_ASSOC,Berufsverband,100000.0,[],53113.0,R000088,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Source Business Alliance - Bundesverband für digitale Souveränität e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,100000.0,[],10117.0,R001317,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netflix Services Germany GmbH,,ACT_ORGANIZATION,Unternehmen,100000.0,['R002884'],10117.0,R001673,0.1612903225806451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xempus AG,,ACT_ORGANIZATION,Unternehmen,100000.0,['R000672'],80636.0,R000977,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Wohnen SE,,ACT_ORGANIZATION,Unternehmen,90000.0,"['R001282', 'R000112']",14197.0,R002222,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@-yet GmbH,,ACT_ORGANIZATION,Unternehmen,90000.0,"['R000802', 'R003145']",42799.0,R002157,0.2352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BdKom (Bundesverband der Kommunikatoren),,ACT_PROFESSION_ASSOC,Berufsverband,90000.0,[],10117.0,R001542,0.1935483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACT_PRIVATE,Privatperson,90000.0,[],,R004867,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berufsverband der Datenschutzbeauftragten Deutschlands (BvD) e.V.,,ACT_PROFESSION_ASSOC,Berufsverband,90000.0,['R003594'],10787.0,R000841,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verband der Vereine Creditreform e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,90000.0,"['R001100', 'R001356']",41460.0,R002790,0.1739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneFiber Interconnect Germany GmbH,,ACT_ORGANIZATION,Unternehmen,90000.0,['R000672'],66606.0,R002930,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitzenorganisation der Filmwirtschaft e. V. (SPIO),,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,90000.0,"['R001045', 'R001881']",10623.0,R002509,0.1785714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYBACK GmbH,,ACT_ORGANIZATION,Unternehmen,90000.0,"['R000672', 'R000076', 'R001184']",80339.0,R002771,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Systems GmbH,,ACT_ORGANIZATION,Unternehmen,90000.0,"['R000672', 'R001564']",80992.0,R000469,0.2666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-Public Services GmbH,,ACT_ORGANIZATION,Unternehmen,90000.0,"['R003404', 'R000672', 'R001795']",70565.0,R001120,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Hero SE,,ACT_ORGANIZATION,Unternehmen,80000.0,[],10117.0,R001759,0.1724137931034483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehr Demokratie,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",80000.0,['R001351'],10450.0,R003186,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiwillige Selbstkontrolle Unterhaltungssoftware GmbH,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",80000.0,[],10119.0,R000995,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesverband IT-Mittelstand e.V. (BITMi),,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,80000.0,['R000484'],52076.0,R003955,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORACLE Deutschland B.V. & Co. KG,,ACT_ORGANIZATION,Unternehmen,80000.0,['R002338'],80992.0,R001882,0.1818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Society for Worldwide Interbank Financial Telecommunication (SWIFT),,ACT_ORGANIZATION,Unternehmen,70000.0,[],,R004264,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hewlett-Packard GmbH ,,ACT_ORGANIZATION,Unternehmen,70000.0,"['R000672', 'R000328', 'R001392', 'R001795', 'R001564']",71034.0,R004057,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missio - Internationales Katholisches Missionswerk e.V.,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",70000.0,"['R000385', 'R002547', 'R004378', 'R003950']",52064.0,R001529,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corint Media GmbH,,ACT_ORGANIZATION,Unternehmen,70000.0,[],10785.0,R000759,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IONOS Group SE,,ACT_ORGANIZATION,Unternehmen,70000.0,[],56410.0,R001939,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFODAS GmbH,,ACT_ORGANIZATION,Unternehmen,70000.0,"['R001795', 'R002955']",50765.0,R003841,0.3636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Knowledge Foundation Deutschland e. V.,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",70000.0,"['R001351', 'R004378']",10179.0,R000405,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Börse Stuttgart cats GmbH,,ACT_ORGANIZATION,Unternehmen,70000.0,[],70174.0,R004480,0.2352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTT Germany AG & Co. KG,,ACT_ORGANIZATION,Unternehmen,70000.0,"['R000672', 'R001795', 'R000432']",61352.0,R003599,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauselmann AG,,ACT_ORGANIZATION,Unternehmen,70000.0,"['R000328', 'R001795', 'R003558']",32339.0,R001603,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viagogo AG,,ACT_ORGANIZATION,Unternehmen,70000.0,['R001241'],,R001445,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franz Cornelsen Bildungsholding GmbH & Co. KG,,ACT_ORGANIZATION,Unternehmen,70000.0,"['R002744', 'R003404', 'R001208', 'R002065']",14197.0,R001526,0.1590909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forum Bildung Digitalisierung e.V.,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",70000.0,[],10117.0,R004679,0.4285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG Kino - Gilde,,ACT_PROFESSION_ASSOC,Berufsverband,70000.0,['R002509'],10789.0,R001770,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1&1 Versatel GmbH,,ACT_ORGANIZATION,Unternehmen,70000.0,[],40468.0,R001935,0.2307692307692307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vorwerk SE & Co. KG,,ACT_ORGANIZATION,Unternehmen,60000.0,"['R000337', 'R000747', 'R000798', 'R001850', 'R003145', 'R002392', 'R000841', 'R000433', 'R001596']",42270.0,R005625,0.2352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELX Deutschland GmbH,,ACT_ORGANIZATION,Unternehmen,60000.0,[],40219.0,R001178,0.2258064516129032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART Technologies Germany GmbH,,ACT_ORGANIZATION,Unternehmen,60000.0,"['R001208', 'R002225']",50968.0,R004517,0.2941176470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocMorris Holding GmbH,ORGANIZATION,ACT_ORGANIZATION,Unternehmen,60000.0,[],10437.0,R001927,0.3076923076923077,"{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R001920', 'name': 'DocMorris N.V.', 'phoneNumber': '+31452017000', 'organizationEmails': ['LobbyRG@docmorris.de'], 'websites': ['https://www.docmorris.de/'], 'legalRepresentatives': [{'commonFirstName': 'Michael', 'lastName': 'Veigel', 'function': 'CFO', 'phoneNumber': '+31452017000', 'organizationMemberEmails': ['LobbyRG@docmorris.de']}, {'academicDegreeBefore': 'Dr.', 'commonFirstName': 'Ulrich', 'lastName': 'Thomé', 'function': 'CSO', 'phoneNumber': '+31452017000', 'organizationMemberEmails': ['LobbyRG@docmorris.de']}, {'commonFirstName': 'Sonja', 'lastName': 'Thüllen', 'function': 'Chief Pharmaceutical Officer ', 'phoneNumber': '+31452017000', 'organizationMemberEmails': ['LobbyRG@docmorris.de']}], 'address.type': 'FOREIGN', 'address.internationalAdditional1': 'DocMorris N.V.', 'address.internationalAdditional2': 'Avantisallee 152', 'address.city': '6422 RA Heerlen', 'address.country.code': 'NL', 'legalForm.code': 'LF_OTHER_JP_INTERNATIONAL', 'legalForm.code_de': 'Sonstige juristische Person, auch nach anderem als deutschem Recht', 'legalForm.code_en': 'Other juristic person', 'legalForm.type': 'JURISTIC_PERSON', 'legalForm.legalFormText': 'Die naamloze vennootschap (N.V.) ist die niederländische Rechtsform für eine Aktiengesellschaft.'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R001940', 'name': 'Zur Rose Group AG', 'phoneNumber': '+41527240020', 'organizationEmails': ['info@zurrose.com'], 'websites': ['www.zurrose.com'], 'legalRepresentatives': [{'commonFirstName': 'Walter', 'lastName': 'Hess', 'function': 'CEO', 'phoneNumber': '+41527240020', 'organizationMemberEmails': ['info@zurrose.com']}, {'commonFirstName': 'David', 'lastName': 'Masó', 'function': 'Head Europe', 'phoneNumber': '+41527240020', 'organizationMemberEmails': ['info@zurrose.com']}, {'commonFirstName': 'Emanuel', 'lastName': 'Lorini', 'function': 'Head Switzerland', 'phoneNumber': '+41527240020', 'organizationMemberEmails': ['info@zurrose.com']}, {'commonFirstName': 'Madhu', 'lastName': 'Nutakki', 'function': 'CTO', 'phoneNumber': '+41527240020', 'organizationMemberEmails': ['info@zurrose.com']}, {'commonFirstName': 'Marcel', 'lastName': 'Ziwica', 'function': 'CFO', 'phoneNumber': '+41527240020', 'organizationMemberEmails': ['info@zurrose.com']}], 'address.type': 'FOREIGN', 'address.internationalAdditional1': 'Seestrasse 119', 'address.city': '8266 Steckborn', 'address.country.code': 'CH', 'legalForm.code': 'LF_OTHER_JP_INTERNATIONAL', 'legalForm.code_de': 'Sonstige juristische Person, auch nach anderem als deutschem Recht', 'legalForm.code_en': 'Other juristic person', 'legalForm.type': 'JURISTIC_PERSON', 'legalForm.legalFormText': 'Aktiengesellschaft (AG) nach Schweizer Recht'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R001950', 'name': 'Comventure GmbH', 'phoneNumber': '+49621397316701', 'organizationEmails': ['LobbyRG@comventure.de'], 'websites': ['https://www.comventure.de'], 'legalRepresentatives': [{'commonFirstName': 'Matthias', 'lastName': 'Peuckert', 'function': 'Geschäftsführer', 'phoneNumber': '+49621397316701', 'organizationMemberEmails': ['LobbyRG@comventure.de']}, {'commonFirstName': 'Michael', 'lastName': 'Veigel', 'function': 'Geschäftsführer', 'phoneNumber': '+49621397316701', 'organizationMemberEmails': ['LobbyRG@comventure.de']}], 'address.type': 'NATIONAL', 'address.street': 'Landteilstr.', 'address.streetNumber': '31', 'address.zipCode': '68163', 'address.city': 'Mannheim', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R001952', 'name': 'Visionrunner GmbH', 'phoneNumber': '+4962157052350', 'organizationEmails': ['LobbyRG@visionrunner.de'], 'websites': ['www.visionrunner.de'], 'legalRepresentatives': [{'commonFirstName': 'Matthias', 'lastName': 'Fuchs', 'function': 'Geschäftsführer', 'phoneNumber': '+4962157052350', 'organizationMemberEmails': ['LobbyRG@visionrunner.de']}, {'commonFirstName': 'Matthias', 'lastName': 'Peuckert', 'function': 'Geschäftsführer', 'phoneNumber': '+4962157052350', 'organizationMemberEmails': ['LobbyRG@visionrunner.de']}, {'commonFirstName': 'Michael', 'lastName': 'Veigel', 'function': 'Geschäftsführer', 'phoneNumber': '+4962157052350', 'organizationMemberEmails': ['LobbyRG@visionrunner.de']}], 'address.type': 'NATIONAL', 'address.street': 'Landteilstr.', 'address.streetNumber': '31', 'address.zipCode': '68163', 'address.city': 'Mannheim', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R002868', 'name': 'eHealth-Tec GmbH', 'phoneNumber': '+493040505600', 'organizationEmails': ['LobbyRG@ehealth-tec.de'], 'websites': ['www.ehealth-tec.com'], 'legalRepresentatives': [{'academicDegreeBefore': 'Dr.', 'commonFirstName': 'Ulrich', 'lastName': 'Thomé', 'function': 'Geschäftsführer', 'phoneNumber': '+493040505600', 'organizationMemberEmails': ['LobbyRG@ehealth-tec.de']}], 'address.type': 'NATIONAL', 'address.street': 'Schönhauser Allee ', 'address.streetNumber': '122a', 'address.zipCode': '10437', 'address.city': 'Berlin', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R001942', 'name': 'Zur Rose Pharma GmbH', 'phoneNumber': '+4934527994697', 'organizationEmails': ['kommunikation@zurrose-pharma.com'], 'websites': ['www.zurrose-pharma.com'], 'legalRepresentatives': [{'commonFirstName': 'Michael', 'lastName': 'Veigel', 'function': 'Geschäftsführer', 'phoneNumber': '+4934527994697', 'organizationMemberEmails': ['kommunikation@zurrose-pharma.com']}, {'commonFirstName': 'Oliver', 'lastName': 'Henschel', 'function': 'Geschäftsführer', 'phoneNumber': '+4934527994697', 'organizationMemberEmails': ['kommunikation@zurrose-pharma.com']}], 'address.type': 'NATIONAL', 'address.street': 'Thüringer Straße', 'address.streetNumber': '29', 'address.zipCode': '06112', 'address.city': 'Halle (Saale)', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R002012', 'name': 'DocMorris Services B.V.', 'phoneNumber': '+31452017000', 'organizationEmails': ['LobbyRG@docmorris-plus.de'], 'websites': ['https://www.docmorris-plus.de/'], 'legalRepresentatives': [{'academicDegreeBefore': 'Dr. ', 'commonFirstName': 'Malte', 'lastName': 'Dous', 'function': 'Geschäftsführer', 'phoneNumber': '+31452017000', 'organizationMemberEmails': ['LobbyRG@docmorris.de']}, {'commonFirstName': 'Oliver', 'lastName': 'Henschel', 'function': 'Geschäftsführer', 'phoneNumber': '+31452017000', 'organizationMemberEmails': ['LobbyRG@docmorris.de']}, {'commonFirstName': 'Matthias', 'lastName': 'Peuckert', 'function': 'Geschäftsführer', 'phoneNumber': '+31452017000', 'organizationMemberEmails': ['LobbyRG@docmorris.de']}], 'address.type': 'FOREIGN', 'address.internationalAdditional1': 'Avantisallee 152', 'address.city': '6422 RA Heerlen', 'address.country.code': 'NL', 'legalForm.code': 'LF_OTHER_JP_INTERNATIONAL', 'legalForm.code_de': 'Sonstige juristische Person, auch nach anderem als deutschem Recht', 'legalForm.code_en': 'Other juristic person', 'legalForm.type': 'JURISTIC_PERSON', 'legalForm.legalFormText': 'Die niederländische B.V. oder (besloten vennootschap met beperkte aansprakelijkheid) niederländische Kapitalgesellschaft mit beschränkter Haftung'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marconi Group Management International Ltd.,,ACT_ORGANIZATION,Unternehmen,60000.0,[],,R002083,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMeV - Professioneller Mobilfunk e. V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,60000.0,[],10119.0,R004531,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbnb Germany GmbH,,ACT_ORGANIZATION,Unternehmen,60000.0,['R003873'],10178.0,R003522,0.1739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Match Group Holdings I, LLC",,ACT_ORGANIZATION,Unternehmen,60000.0,[],,R004052,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verband deutscher Kreditplattformen e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,60000.0,[],10719.0,R000904,0.1923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
